dist,regime,hyp,BR,MC,BA,N_replicates
normal,small,null,0.985,1,0.94,200
normal,small,alt,0.965,1,0.875,200
normal,moderate,null,0.995,0.995,0.95,200
normal,moderate,alt,0.99,1,0.77,200
normal,large,null,1,0.995,0.96,200
normal,large,alt,0.98,0.98,0.745,200
uniform,small,null,0.995,0.99,0.95,200
uniform,small,alt,0.995,0.995,0.905,200
uniform,moderate,null,0.995,1,0.95,200
uniform,moderate,alt,0.985,0.995,0.83,200
uniform,large,null,0.995,1,0.955,200
uniform,large,alt,0.96,0.99,0.745,200
exponential,small,null,0.99,1,0.95,200
exponential,small,alt,0.975,1,0.785,200
exponential,moderate,null,0.99,1,0.955,200
exponential,moderate,alt,0.985,0.995,0.73,200
exponential,large,null,1,1,0.95,200
exponential,large,alt,0.97,1,0.64,200
gamma,small,null,1,1,0.96,200
gamma,small,alt,0.98,0.995,0.83,200
gamma,moderate,null,1,0.99,0.96,200
gamma,moderate,alt,0.98,0.995,0.775,200
gamma,large,null,0.995,1,0.955,200
gamma,large,alt,0.99,1,0.675,200
lognormal,small,null,0.995,1,0.94,200
lognormal,small,alt,0.97,1,0.66,200
lognormal,moderate,null,0.995,0.995,0.96,200
lognormal,moderate,alt,0.96,1,0.52,200
lognormal,large,null,0.985,1,0.935,200
lognormal,large,alt,0.97,1,0.57,200
