dist,regime,mean_total_allocations,min_total_allocations,max_total_allocations,N_replicates
normal,small,37309.0025,462,184756,400
normal,moderate,33857570.6,352716,155117520,400
normal,large,26598152304.9375,300540195,137846528820,400
uniform,small,43475.5475,462,184756,400
uniform,moderate,32581090.75,352716,155117520,400
uniform,large,28366208716.35,300540195,137846528820,400
exponential,small,37353.745,462,184756,400
exponential,moderate,33302206.015,352716,155117520,400
exponential,large,27287167065.15,300540195,137846528820,400
gamma,small,35523.5925,462,184756,400
gamma,moderate,33032564,352716,155117520,400
gamma,large,28733574907.65,300540195,137846528820,400
lognormal,small,34655.8575,462,184756,400
lognormal,moderate,27614776.795,352716,155117520,400
lognormal,large,25643882133.3,300540195,137846528820,400
