dist,regime,mean_discrepancy,mean_max_first_dev,mean_max_second_dev,mean_br_support_size,min_br_support_size,max_br_support_size,N_replicates
normal,small,0.000529148664544949,0.000924760043877693,0.00480683514112307,300,300,300,400
normal,moderate,0.00224454362104662,0.000976636681659172,0.00740368684705267,300,300,300,400
normal,large,0.00613002499839598,0.00127434895821993,0.00990557440234859,300,300,300,400
uniform,small,0.000540382391430379,0.000946288618502243,0.00471692935547425,300,300,300,400
uniform,moderate,0.00225689647636499,0.00093465529140192,0.00737460456279797,300,300,300,400
uniform,large,0.00627689875522135,0.00132533420517292,0.00997450216159893,300,300,300,400
exponential,small,0.000506854754980142,0.00100664660416983,0.00466967856704699,300,300,300,400
exponential,moderate,0.00229700834900011,0.000904849559347313,0.00744577354180053,300,300,300,400
exponential,large,0.00630239226224712,0.00119214425504748,0.0100351931561609,300,300,300,400
gamma,small,0.000501189666370781,0.0010326903230928,0.00458616986728442,300,300,300,400
gamma,moderate,0.00231541942520803,0.000842538254682185,0.00748808016626608,300,300,300,400
gamma,large,0.0062342705126415,0.00132417149836505,0.00995307410549346,300,300,300,400
lognormal,small,0.000505944336193562,0.000909961787438571,0.00473607857570706,300,300,300,400
lognormal,moderate,0.00213053959131545,0.0010009053013176,0.00718954094381381,300,300,300,400
lognormal,large,0.00622934140430917,0.00122860961328704,0.00997317017478308,300,300,300,400
