dist,regime,ref_method,N_replicates
normal,small,FP_EXACT,323
normal,small,MC_BENCH,77
normal,moderate,MC_BENCH,400
normal,large,MC_BENCH,400
uniform,small,FP_EXACT,304
uniform,small,MC_BENCH,96
uniform,moderate,MC_BENCH,400
uniform,large,MC_BENCH,400
exponential,small,FP_EXACT,316
exponential,small,MC_BENCH,84
exponential,moderate,MC_BENCH,400
exponential,large,MC_BENCH,400
gamma,small,FP_EXACT,322
gamma,small,MC_BENCH,78
gamma,moderate,MC_BENCH,400
gamma,large,MC_BENCH,400
lognormal,small,FP_EXACT,322
lognormal,small,MC_BENCH,78
lognormal,moderate,MC_BENCH,400
lognormal,large,MC_BENCH,400
