dist,regime,BR,MC,BA,N_replicates
normal,small,0.0157367733496592,0.00412529339745466,0.273264291239283,200
normal,moderate,0.0186459260733634,0.00427203328746204,0.230425491197914,200
normal,large,0.0202954321324063,0.00426120693066689,0.217958545951587,200
uniform,small,0.0164823705804773,0.00397627927489384,0.231682324325523,200
uniform,moderate,0.0180778105646889,0.00443134199212534,0.211688446262509,200
uniform,large,0.0183135114328951,0.00430798046957505,0.215524200400384,200
exponential,small,0.0165537893333222,0.00389795835799828,0.246171386308328,200
exponential,moderate,0.0195351116025735,0.00420443594954701,0.218493260686285,200
exponential,large,0.018296581983195,0.00388322163463142,0.238417396002242,200
gamma,small,0.0163590663252287,0.00420726125994575,0.245202413926733,200
gamma,moderate,0.0175405102682809,0.00420957344954401,0.228792715333782,200
gamma,large,0.0181464484139918,0.00410014128880518,0.240831456145942,200
lognormal,small,0.0142958971758597,0.00428071239336886,0.252979141065163,200
lognormal,moderate,0.0162597126314465,0.00431571578595165,0.221586022678857,200
lognormal,large,0.01592641689568,0.00430281693084753,0.248846845592093,200
